CODE,ACCOUNT_N,BILL,DATE,VC_NUMBER,DEBIT,NAME_CODE,NAME,ADD_1,ADD_2,CITY,ST_NUMBER,ST_DATE,CASH_DET,CRED_CODE,GR_NO,GR_DATE,WORDS,TAX_TYPE,MAIN_KEY,SUM_AMT,SUM_QTY,TRANSPORT,TAX_PER,TAX,CST_PER,CS_TAX,K1,TAX_RET,FORM_NO,SURCHARGE,REC_YN,REC_BY,REC_DATE,REC_BILL,REC_BIL_YN,ITEM_RET,TRADE,HOLD_NAME,HOLD_CODE,TIMING,AREA,DELIVERY,COUR_CHG,DEL_2,STATE,STATE_CODE,EWAY_BILL,SGST_PER,SGS_TAX,CGST_PER,CGS_TAX,IGST_PER,IGS_TAX,NARR,ROUND_OFF,PHONE,DEL_DATE,DEL_CODE,DEL_NAME,DEL_ADD1,DEL_ADD2,DEL_CITY,DEL_STATE,DEL_SC,DEL_GSTIN,DEL_BY
7598,SUMAN APPAREL,W-10012,3/1/2025,2013,2520,0,NULL,NULL,NULL,98726-33718,NULL,NULL,TRUE,6000,NULL,NULL, TWO THOUSAND FIVE HUNDRED TWENTY,S,2.02503E+11,2400,12,NULL,5,120,NULL,0,7598,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,16:32:59,VS,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7598,SUMAN APPAREL,NULL,NULL,98726-33718,Ludhiana,NULL,NULL,ANUJ PAJI
7885,ZEEL,W-10011,3/1/2025,2012,2992.5,0,NULL,"BHIWANDI ROAD,BHIWANDI,THANE-421302",MAHARASTRA,9538892967,NULL,NULL,TRUE,6000,NULL,NULL, TWO THOUSAND NINE HUNDRED NINETY THREE,S,2.02503E+11,2400,12,NULL,5,142.5,NULL,0,7885,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,16:24:18,JK,NULL,450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7885,ZEEL,"BHIWANDI ROAD,BHIWANDI,THANE-421302",MAHARASTRA,9538892967,Maharashtra,NULL,NULL,COURIER
7347,HOLD ENT.,X-13287,3/2/2025,2003,600,0,NULL,-1,NULL,NULL,NULL,NULL,TRUE,6000,NULL,NULL, SIX HUNDRED,S,2.02503E+11,600,600,NULL,0,0,0,0,7347,9,NULL,0,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,HOLD:INDRA VALUES,7802,12:14:29,VS,NULL,0,INDRA VALUES,NULL,NULL,NULL,0,0,0,0,0,0,CAMO #2 BLACK & NAVY,0,NULL,NULL,7802,INDRA VALUES,"SHERPUR KHURD,LUDHIANA 141010",NULL,NULL,Ludhiana,NULL,NULL,NULL
7347,HOLD ENT.,X-13682,3/2/2025,2021,180950,0,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,6000,NULL,NULL, ONE LAKH EIGHTY   THOUSAND NINE HUNDRED FIFTY,S,2.02503E+11,180950,770,NULL,0,0,0,0,7347,9,NULL,0,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,HOLD:U.D.I,7472,15:11:59,JK,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,Q#15 MIX,0,NULL,NULL,7472,U.D.I,JANAK PURI HARGOBIND NAGAR,NULL,85588-03581,Ludhiana,NULL,NULL,UDI
7347,HOLD ENT.,X-14043,3/5/2025,2002,2275,0,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,6000,NULL,NULL, TWO THOUSAND TWO HUNDRED SEVENTY FIVE,S,2.02503E+11,2275,13,NULL,0,0,0,0,7347,9,NULL,0,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,HOLD:INDRA VALUES,7802,12:22:08,VS,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,SAMPLING,0,NULL,NULL,7802,INDRA VALUES,"SHERPUR KHURD,LUDHIANA 141010",NULL,NULL,Ludhiana,NULL,NULL,INDRA
7347,HOLD ENT.,X-14453,3/2/2025,2049,96800,0,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,6000,NULL,NULL, NINETY SIX THOUSAND EIGHT HUNDRED,S,2.02503E+11,96800,605,NULL,0,0,0,0,7347,9,NULL,0,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,HOLD:INDRA VALUES,7802,18:45:47,VS,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,JT-8015 D-NAVY,0,NULL,NULL,7802,INDRA VALUES,"SHERPUR KHURD,LUDHIANA 141010",NULL,NULL,Ludhiana,NULL,NULL,INDRA VALUES
7347,HOLD ENT.,X-14567,3/2/2025,2054,116610,0,NULL,BASTI JODHEWAL LUDHIANA 141007,NULL,9988938717,NULL,NULL,TRUE,6000,NULL,NULL, ONE LAKH SIXTEEN THOUSAND SIX HUNDRED TEN,S,2.02503E+11,116610,507,NULL,0,0,0,0,7347,9,NULL,0,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,HOLD:U.D.I,7472,17:01:46,JK,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,Q#15 MIX,0,NULL,NULL,7472,U.D.I,JANAK PURI HARGOBIND NAGAR,NULL,85588-03581,Ludhiana,NULL,NULL,UDI
7347,HOLD ENT.,X-14588,3/2/2025,2055,473.7,0,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,6000,NULL,NULL, FOUR HUNDRED SEVENTY FOUR,S,2.02503E+11,473.7,473.7,NULL,0,0,0,0,7347,9,NULL,0,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,HOLD:U.D.I,7472,12:01:24,JK,NULL,0,U D I,NULL,NULL,NULL,0,0,0,0,0,0,FC DOBBY 2407 MIX,0,NULL,NULL,7472,U.D.I,JANAK PURI HARGOBIND NAGAR,NULL,85588-03581,Ludhiana,NULL,NULL,FC DOBBY 2407
9127,SOBHAGIA SALES PVT.LTD,W-10009,3/1/2025,2010,819,0,NULL,V.SAHNEWAL GT.ROAD LUDHIANA 141120,0161-2846846,NULL,NULL,NULL,TRUE,6000,NULL,NULL, EIGHT HUNDRED NINETEEN,S,2.02503E+11,780,10,NULL,5,39,NULL,0,9127,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,15:34:35,VS,NULL,0,PO.NO.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9127,SOBHAGIA SALES PVT.LTD,V.SAHNEWAL GT.ROAD LUDHIANA 141120,0161-2846846,NULL,Ludhiana,NULL,NULL,ANUJ PAJI
4718,TRIDEV FASHION,W-10008,3/1/2025,2009,735,0,NULL,PLOT.NO.50 DB-1-1446/10/1C/1 S.N.1,KAPIL PARK LUDHIANA,NULL,NULL,NULL,TRUE,6000,NULL,NULL, SEVEN HUNDRED THIRTY FIVE,S,2.02503E+11,700,7,NULL,5,35,NULL,0,4718,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,15:25:23,VS,NULL,0,SURAJ SIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4718,TRIDEV FASHION,PLOT.NO.50 DB-1-1446/10/1C/1 S.N.1,KAPIL PARK LUDHIANA,NULL,Ludhiana,NULL,NULL,ANUJ PAJI
